"Method","TaxSource","Samples","OTUs_in_Table","Total_Reads","Original_Taxa","Filtered_Taxa","Taxa_Lost","Taxa_Lost_Pct","Taxa_Retained_Pct"
"lulu_silva_tax_filtered_rep50_nP","SILVA",1614,4876,50853138,27460,4876,22584,82.24,17.76
"lulu_silva_tax_filtered_rep50_psP","SILVA",1624,6670,50950678,28719,6670,22049,76.77,23.23
"lulu_silva_tax_filtered_rep50_fP","SILVA",1636,12476,91812902,16337,12476,3861,23.63,76.37
"lulu_silva_tax_filtered_rep75_nP","SILVA",1557,2627,34716664,27460,2627,24833,90.43,9.57
"lulu_silva_tax_filtered_rep75_psP","SILVA",1565,3036,34969674,28719,3036,25683,89.43,10.57
"lulu_silva_tax_filtered_rep75_fP","SILVA",1621,9844,89389080,16337,9844,6493,39.74,60.26
"lulu_silva_tax_filtered_norepfilt_nP","SILVA",1636,26195,96438508,27460,26195,1265,4.61,95.39
"lulu_silva_tax_filtered_norepfilt_psP","SILVA",1644,27646,96902799,28719,27646,1073,3.74,96.26
"lulu_silva_tax_filtered_norepfilt_fP","SILVA",1645,16149,96222097,16337,16149,188,1.15,98.85
"lulu_silva_tax_filtcollapsed_rep50_nP","SILVA",407,4876,50558258,27460,4876,22584,82.24,17.76
"lulu_silva_tax_filtcollapsed_rep50_psP","SILVA",411,6670,50870896,28719,6670,22049,76.77,23.23
"lulu_silva_tax_filtcollapsed_rep50_fP","SILVA",421,12476,91796784,16337,12476,3861,23.63,76.37
"lulu_silva_tax_filtcollapsed_rep75_nP","SILVA",389,2627,34398210,27460,2627,24833,90.43,9.57
"lulu_silva_tax_filtcollapsed_rep75_psP","SILVA",390,3036,34672610,28719,3036,25683,89.43,10.57
"lulu_silva_tax_filtcollapsed_rep75_fP","SILVA",404,9844,89031420,16337,9844,6493,39.74,60.26
"lulu_silva_tax_filtcollapsed_norepfilt_nP","SILVA",424,26195,96436332,27460,26195,1265,4.61,95.39
"lulu_silva_tax_filtcollapsed_norepfilt_psP","SILVA",425,27646,96901227,28719,27646,1073,3.74,96.26
"lulu_silva_tax_filtcollapsed_norepfilt_fP","SILVA",426,16149,96220653,16337,16149,188,1.15,98.85
"swarm_silva_tax_filtered_rep50_nP","SILVA",1618,5281,71832352,18826,5281,13545,71.95,28.05
"swarm_silva_tax_filtered_rep50_psP","SILVA",1623,6406,72401553,19513,6406,13107,67.17,32.83
"swarm_silva_tax_filtered_rep50_fP","SILVA",1630,11401,91677412,14930,11401,3529,23.64,76.36
"swarm_silva_tax_filtered_rep75_nP","SILVA",1573,3162,62021889,18826,3162,15664,83.2,16.8
"swarm_silva_tax_filtered_rep75_psP","SILVA",1582,3725,62794510,19513,3725,15788,80.91,19.09
"swarm_silva_tax_filtered_rep75_fP","SILVA",1614,8989,89337078,14930,8989,5941,39.79,60.21
"swarm_silva_tax_filtered_norepfilt_nP","SILVA",1625,18035,95226326,18826,18035,791,4.2,95.8
"swarm_silva_tax_filtered_norepfilt_psP","SILVA",1634,18850,95746304,19513,18850,663,3.4,96.6
"swarm_silva_tax_filtered_norepfilt_fP","SILVA",1637,14767,95803786,14930,14767,163,1.09,98.91
"swarm_silva_tax_filtcollapsed_rep50_nP","SILVA",415,5281,71650688,18826,5281,13545,71.95,28.05
"swarm_silva_tax_filtcollapsed_rep50_psP","SILVA",416,6406,72229151,19513,6406,13107,67.17,32.83
"swarm_silva_tax_filtcollapsed_rep50_fP","SILVA",418,11401,91519027,14930,11401,3529,23.64,76.36
"swarm_silva_tax_filtcollapsed_rep75_nP","SILVA",395,3162,61676860,18826,3162,15664,83.2,16.8
"swarm_silva_tax_filtcollapsed_rep75_psP","SILVA",393,3725,62439470,19513,3725,15788,80.91,19.09
"swarm_silva_tax_filtcollapsed_rep75_fP","SILVA",401,8989,88974470,14930,8989,5941,39.79,60.21
"swarm_silva_tax_filtcollapsed_norepfilt_nP","SILVA",423,18035,95224165,18826,18035,791,4.2,95.8
"swarm_silva_tax_filtcollapsed_norepfilt_psP","SILVA",424,18850,95744833,19513,18850,663,3.4,96.6
"swarm_silva_tax_filtcollapsed_norepfilt_fP","SILVA",424,14767,95802353,14930,14767,163,1.09,98.91
"lulu_pr2_tax_filtered_rep50_nP","PR2",1614,4876,50853138,27460,4876,22584,82.24,17.76
"lulu_pr2_tax_filtered_rep50_psP","PR2",1624,6670,50950678,28719,6670,22049,76.77,23.23
"lulu_pr2_tax_filtered_rep50_fP","PR2",1636,12476,91812902,16337,12476,3861,23.63,76.37
"lulu_pr2_tax_filtered_rep75_nP","PR2",1557,2627,34716664,27460,2627,24833,90.43,9.57
"lulu_pr2_tax_filtered_rep75_psP","PR2",1565,3036,34969674,28719,3036,25683,89.43,10.57
"lulu_pr2_tax_filtered_rep75_fP","PR2",1621,9844,89389080,16337,9844,6493,39.74,60.26
"lulu_pr2_tax_filtered_norepfilt_nP","PR2",1636,26195,96438508,27460,26195,1265,4.61,95.39
"lulu_pr2_tax_filtered_norepfilt_psP","PR2",1644,27646,96902799,28719,27646,1073,3.74,96.26
"lulu_pr2_tax_filtered_norepfilt_fP","PR2",1645,16149,96222097,16337,16149,188,1.15,98.85
"lulu_pr2_tax_filtcollapsed_rep50_nP","PR2",407,4876,50558258,27460,4876,22584,82.24,17.76
"lulu_pr2_tax_filtcollapsed_rep50_psP","PR2",411,6670,50870896,28719,6670,22049,76.77,23.23
"lulu_pr2_tax_filtcollapsed_rep50_fP","PR2",421,12476,91796784,16337,12476,3861,23.63,76.37
"lulu_pr2_tax_filtcollapsed_rep75_nP","PR2",389,2627,34398210,27460,2627,24833,90.43,9.57
"lulu_pr2_tax_filtcollapsed_rep75_psP","PR2",390,3036,34672610,28719,3036,25683,89.43,10.57
"lulu_pr2_tax_filtcollapsed_rep75_fP","PR2",404,9844,89031420,16337,9844,6493,39.74,60.26
"lulu_pr2_tax_filtcollapsed_norepfilt_nP","PR2",424,26195,96436332,27460,26195,1265,4.61,95.39
"lulu_pr2_tax_filtcollapsed_norepfilt_psP","PR2",425,27646,96901227,28719,27646,1073,3.74,96.26
"lulu_pr2_tax_filtcollapsed_norepfilt_fP","PR2",426,16149,96220653,16337,16149,188,1.15,98.85
"swarm_pr2_tax_filtered_rep50_nP","PR2",1618,5281,71832352,18826,5281,13545,71.95,28.05
"swarm_pr2_tax_filtered_rep50_psP","PR2",1623,6406,72401553,19513,6406,13107,67.17,32.83
"swarm_pr2_tax_filtered_rep50_fP","PR2",1630,11401,91677412,14930,11401,3529,23.64,76.36
"swarm_pr2_tax_filtered_rep75_nP","PR2",1573,3162,62021889,18826,3162,15664,83.2,16.8
"swarm_pr2_tax_filtered_rep75_psP","PR2",1582,3725,62794510,19513,3725,15788,80.91,19.09
"swarm_pr2_tax_filtered_rep75_fP","PR2",1614,8989,89337078,14930,8989,5941,39.79,60.21
"swarm_pr2_tax_filtered_norepfilt_nP","PR2",1625,18035,95226326,18826,18035,791,4.2,95.8
"swarm_pr2_tax_filtered_norepfilt_psP","PR2",1634,18850,95746304,19513,18850,663,3.4,96.6
"swarm_pr2_tax_filtered_norepfilt_fP","PR2",1637,14767,95803786,14930,14767,163,1.09,98.91
"swarm_pr2_tax_filtcollapsed_rep50_nP","PR2",415,5281,71650688,18826,5281,13545,71.95,28.05
"swarm_pr2_tax_filtcollapsed_rep50_psP","PR2",416,6406,72229151,19513,6406,13107,67.17,32.83
"swarm_pr2_tax_filtcollapsed_rep50_fP","PR2",418,11401,91519027,14930,11401,3529,23.64,76.36
"swarm_pr2_tax_filtcollapsed_rep75_nP","PR2",395,3162,61676860,18826,3162,15664,83.2,16.8
"swarm_pr2_tax_filtcollapsed_rep75_psP","PR2",393,3725,62439470,19513,3725,15788,80.91,19.09
"swarm_pr2_tax_filtcollapsed_rep75_fP","PR2",401,8989,88974470,14930,8989,5941,39.79,60.21
"swarm_pr2_tax_filtcollapsed_norepfilt_nP","PR2",423,18035,95224165,18826,18035,791,4.2,95.8
"swarm_pr2_tax_filtcollapsed_norepfilt_psP","PR2",424,18850,95744833,19513,18850,663,3.4,96.6
"swarm_pr2_tax_filtcollapsed_norepfilt_fP","PR2",424,14767,95802353,14930,14767,163,1.09,98.91
